Encouragement
Own reusable container
None
Single-use packaging
None
Reusable container provided
Own reusable container
Reusable container provided
Single-use packaging
Reusable container provided
Own reusable container
Reusable container provided
Own reusable container
None
Reusable container provided
Reusable container provided
Reusable container provided
Own reusable container
Own reusable container
Own reusable container
None
Own reusable container
None
Own reusable container
Own reusable container
Own reusable container
Own reusable container
Single-use packaging
Reusable container provided
Own reusable container
Reusable container provided
Reusable container provided
